"setup","network_size","iteration","Visualization approach","time"
"AMD Opteron 6328",100,92,"igraph",0.397999999999229
"AMD Opteron 6328",100,93,"igraph",0.408999999999651
"AMD Opteron 6328",100,94,"igraph",0.386999999998807
"AMD Opteron 6328",100,95,"igraph",0.381999999999607
"AMD Opteron 6328",100,96,"igraph",0.401000000001659
"AMD Opteron 6328",100,97,"igraph",0.405000000000655
"AMD Opteron 6328",100,98,"igraph",0.38799999999901
"AMD Opteron 6328",100,99,"igraph",0.421000000000276
"AMD Opteron 6328",100,100,"igraph",0.416000000001077
"AMD Opteron 6328",125,1,"igraph",0.602999999999952
"AMD Opteron 6328",125,2,"igraph",0.638000000000034
"AMD Opteron 6328",125,3,"igraph",0.586999999999989
"AMD Opteron 6328",125,4,"igraph",0.635000000000105
"AMD Opteron 6328",125,5,"igraph",0.602000000000089
"AMD Opteron 6328",125,6,"igraph",0.605000000000018
"AMD Opteron 6328",125,7,"igraph",0.592999999999961
"AMD Opteron 6328",125,8,"igraph",0.62399999999991
"AMD Opteron 6328",125,9,"igraph",0.600000000000023
"AMD Opteron 6328",125,10,"igraph",0.593000000000075
"AMD Opteron 6328",125,11,"igraph",0.590999999999894
"AMD Opteron 6328",125,12,"igraph",0.579999999999927
"AMD Opteron 6328",125,13,"igraph",0.611000000000104
"AMD Opteron 6328",125,14,"igraph",0.712999999999965
"AMD Opteron 6328",125,15,"igraph",0.600999999999885
"AMD Opteron 6328",125,16,"igraph",0.608999999999924
"AMD Opteron 6328",125,17,"igraph",0.590999999999894
"AMD Opteron 6328",125,18,"igraph",0.597999999999956
"AMD Opteron 6328",125,19,"igraph",0.605000000000018
"AMD Opteron 6328",125,20,"igraph",0.608000000000175
"AMD Opteron 6328",125,21,"igraph",0.627999999999702
"AMD Opteron 6328",125,22,"igraph",0.611000000000331
"AMD Opteron 6328",125,23,"igraph",0.612999999999829
"AMD Opteron 6328",125,24,"igraph",0.623000000000047
"AMD Opteron 6328",125,25,"igraph",0.612999999999829
"AMD Opteron 6328",125,26,"igraph",0.606000000000222
"AMD Opteron 6328",125,27,"igraph",0.619999999999891
"AMD Opteron 6328",125,28,"igraph",0.605000000000018
"AMD Opteron 6328",125,29,"igraph",0.605999999999767
"AMD Opteron 6328",125,30,"igraph",0.628000000000156
"AMD Opteron 6328",125,31,"igraph",0.621000000000095
"AMD Opteron 6328",125,32,"igraph",0.619000000000142
"AMD Opteron 6328",125,33,"igraph",0.648999999999887
"AMD Opteron 6328",125,34,"igraph",0.657000000000153
"AMD Opteron 6328",125,35,"igraph",0.623999999999796
"AMD Opteron 6328",125,36,"igraph",0.606000000000222
"AMD Opteron 6328",125,37,"igraph",0.615999999999985
"AMD Opteron 6328",125,38,"igraph",0.628999999999905
"AMD Opteron 6328",125,39,"igraph",0.626000000000204
"AMD Opteron 6328",125,40,"igraph",0.601999999999862
"AMD Opteron 6328",125,41,"igraph",0.592000000000553
"AMD Opteron 6328",125,42,"igraph",0.627999999999702
"AMD Opteron 6328",125,43,"igraph",0.60399999999936
"AMD Opteron 6328",125,44,"igraph",0.626000000000204
"AMD Opteron 6328",125,45,"igraph",0.610999999999876
"AMD Opteron 6328",125,46,"igraph",0.608000000000175
"AMD Opteron 6328",125,47,"igraph",0.623000000000502
"AMD Opteron 6328",125,48,"igraph",0.618000000000393
"AMD Opteron 6328",125,49,"igraph",0.614999999999782
"AMD Opteron 6328",125,50,"igraph",0.609000000000378
"AMD Opteron 6328",125,51,"igraph",0.658999999999651
"AMD Opteron 6328",125,52,"igraph",0.607999999999265
"AMD Opteron 6328",125,53,"igraph",0.628000000000611
"AMD Opteron 6328",125,54,"igraph",0.614000000000487
"AMD Opteron 6328",125,55,"igraph",0.613000000000284
"AMD Opteron 6328",125,56,"igraph",0.625999999999294
"AMD Opteron 6328",125,57,"igraph",0.657000000000153
"AMD Opteron 6328",125,58,"igraph",0.621999999999389
"AMD Opteron 6328",125,59,"igraph",0.627000000000407
"AMD Opteron 6328",125,60,"igraph",0.626000000000204
"AMD Opteron 6328",125,61,"igraph",0.634000000000015
"AMD Opteron 6328",125,62,"igraph",0.622999999999593
"AMD Opteron 6328",125,63,"igraph",0.618999999999687
"AMD Opteron 6328",125,64,"igraph",0.631999999999607
"AMD Opteron 6328",125,65,"igraph",0.64600000000064
"AMD Opteron 6328",125,66,"igraph",0.608999999999469
"AMD Opteron 6328",125,67,"igraph",0.623999999999796
"AMD Opteron 6328",125,68,"igraph",0.632999999999811
"AMD Opteron 6328",125,69,"igraph",0.617000000000189
"AMD Opteron 6328",125,70,"igraph",0.622000000000298
"AMD Opteron 6328",125,71,"igraph",0.605999999999767
"AMD Opteron 6328",125,72,"igraph",0.644000000000233
"AMD Opteron 6328",125,73,"igraph",0.610999999999876
"AMD Opteron 6328",125,74,"igraph",0.622999999999593
"AMD Opteron 6328",125,75,"igraph",0.623000000000502
